date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:49	541/541	---M--	200	added ('OK')	image/svg+xml	etag:%22dd6c3912a58036ec623dc2ce9240d6ce-ssl%22	https://irvingtoncti.org/assets/img/icon/about.svg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/icon/about.svg	(from https://irvingtoncti.org/)
12:10:49	814/814	---M--	200	added ('OK')	image/svg+xml	etag:%22abd45ab42c993bf591bc8ad51e41a6f7-ssl%22	https://irvingtoncti.org/assets/img/icon/right-icon.svg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/icon/right-icon.svg	(from https://irvingtoncti.org/)
12:10:50	586295/586295	---M--	200	added ('OK')	image/jpeg	etag:%223158bbb3a41097880bac690287b1afb2-ssl%22	https://irvingtoncti.org/assets/img/gallery/thumbnail.jpg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/thumbnail.jpg	(from https://irvingtoncti.org/)
12:10:50	365465/365465	---M--	200	added ('OK')	image/png	etag:%22f5cf2e7232614560fdd32844a26633ee-ssl%22	https://irvingtoncti.org/assets/img/gallery/about3.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/about3.png	(from https://irvingtoncti.org/)
12:10:51	76926/76926	---M--	200	added ('OK')	image/png	etag:%2284abfd04f68b4dce86040126d6fe2fc5-ssl%22	https://irvingtoncti.org/assets/img/gallery/sanjhee.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/sanjhee.png	(from https://irvingtoncti.org/)
12:10:51	72852/72852	---M--	200	added ('OK')	image/png	etag:%22c6c7aeedff55b2bf804d622b960e6aa4-ssl%22	https://irvingtoncti.org/assets/img/gallery/charlotte.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/charlotte.png	(from https://irvingtoncti.org/)
12:10:51	69647/69647	---M--	200	added ('OK')	image/png	etag:%22f781a07bafae11054175e20e0b5c6f30-ssl%22	https://irvingtoncti.org/assets/img/gallery/jyothi.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/jyothi.png	(from https://irvingtoncti.org/)
12:10:52	75095/75095	---M--	200	added ('OK')	image/png	etag:%226140b36cf5e47c6c36822b313a9af498-ssl%22	https://irvingtoncti.org/assets/img/gallery/mithilbad(smh).png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/mithilbad(smh).png	(from https://irvingtoncti.org/)
12:10:52	66006/66006	---M--	200	added ('OK')	image/png	etag:%22d04cc19d4b3d182ceff42800281859f8-ssl%22	https://irvingtoncti.org/assets/img/gallery/nathan.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/nathan.png	(from https://irvingtoncti.org/)
12:10:52	66066/66066	---M--	200	added ('OK')	image/png	etag:%22d76a672cf6977844ebef82fa35e2fc6a-ssl%22	https://irvingtoncti.org/assets/img/gallery/praneet.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/praneet.png	(from https://irvingtoncti.org/)
